"loudness","mode","speechiness"
-5.897,1,0.0352
-5.038,1,0.0479
-4.935,0,0.035
-6.096,1,0.262
-11.796,0,0.396
-6.642,1,0.292
-7.277,0,0.23
-8.516,0,0.142
-5.405,1,0.299
-5.69,1,0.28
-4.136,0,0.236
-4.68,1,0.134
-7.952,0,0.501
-5.275,1,0.0924
-6.214,1,0.141
-3.743,1,0.134
-9.095,1,0.277
-7.03,0,0.508
-13.527,1,0.745
-6.827,1,0.247
-5.66,1,0.221
-23.619,0,0.103
-22.389,1,0.0405
-22.692,1,0.0512
-19.561,1,0.0422
-16.309,1,0.0787
-18.834,1,0.0483
-22.124,1,0.102
-19.665,1,0.0357
-20.373,1,0.0626
